Numero,Nom du voilier,Classe,Année de construction,Photo du voilier,Nom du skipper,Age du skipper,Originaire,Nom du skipper,Age du skipper,Originaire,, 
38,LES INVINCIBLES,Class40,2024,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/LES%20INVINCIBLES%20-%20Class40.jpg.webp?itok=agFVeXD5,William MATHELIN-MOREAUX,31,Paris,Pietro LUCIANI,40,Venise,Nicolas,
39,LES P'TITS DOUDOUS,Imoca,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/LES%20P%27TITS%20DOUDOUS%20-%20IMOCA.jpg.webp?itok=yNe0s0VI,Armel TRIPON,50,Nantes,"Tanguy LEGLATIN",46,Ploemeur,Nicolas,
40,MACCAFERRI FUTURA,Class40,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/MACCAFERRI%20FUTURA%20-%20Class40.jpg.webp?itok=a6jXdbTx,Luca ROSETTI,30,Bologne,"Matteo SERICANO",28,Genova,Nicolas,
41,MACIF SANTÉ PRÉVOYANCE,Imoca,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-10/MACIF%20SANTE%20PREVOYANCE%20-%20Imoca.jpg.webp?itok=_bFnCliH,Sam GOODCHILD ,36,Bristol ,Loïs BERREHAR,32,Tours ,Samy,
42,MARTINIQUE HORIZON,Ultim,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/MAXI%20BANQUE%20POPULAIRE%20XI%20-%20ULTIM.jpg.webp?itok=va562IiQ,Armel LE CLÉAC'H,48,Lorient ,Sébastien JOSSE,50,Lorient ,Samy,
43,MAXI BANQUE POPULAIRE XI,Class40,2012,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/MARTINIQUE%20HORIZON%20-%20CLASS40.jpg.webp?itok=6tHUoQtS,Jean-Yves AGLAE,40,Sainte-Luce,Moane MANGATTALE,37,Le Lamentin,Samy,
44,MON BONNET ROSE,Ocean Fifty,Non réferencé,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/mon_bonnet_rose.jpg.webp?itok=ltiJYsvS,Laurent BOURGUES,45,Marseille ,Arnaud VASSEUR,45,Fontenay aux roses,Samy,
45,MSIG EUROPE,Imoca,2007,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/MSIG%20EUROPE%20-%20IMOCA.jpg.webp?itok=nSRyE79a,Conrad COLMAN,42,Auckland ,Mathieu BLANCHARD,38,Cavaillon,Abdelaziz,
46,NEW EUROPE,Imoca,2007,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/new_europe.jpg.webp?itok=W1OoqcqZ,Szabolcs WEÖRES ,52,Veszprem ,Bérénice CHARREZ,33,Genève ,Abdelaziz,
47,NST RACING & CABINET Z,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/NST%20RACING%20%26%20CABINET%20Z%20-%20Class40.jpg.webp?itok=rmQzHSkK,Thomas JOURDREN,23,Brest ,Joseph CLOAREC,23,Non renseignée,Abdelaziz,
48,OCEAN CONNECT - THE SEA CLEANERS,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-10/THE%20SEA%20CLEANERS%20-%20Class40.jpg.webp?itok=20BOFp2V,Jean Baptiste TERNON ,36,Rochefort,Gaëtan THOMAS,38,Lorient ,Abdelaziz,
49,OSE TA VICTOIRE,Class40,2010,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/ose_ta_victoire.jpeg.webp?itok=MzYwc4KP,THOMAS LURTON,28,Vannes ,Sacha VANDENBROUCK,26,Uccle ,Esteban,
50,PAPREC ARKÉA,Imoca,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/PAPREC%20ARK%C3%89A%20-%20Imoca.jpg.webp?itok=uVGuCYZ0,Yoann RICHOMME,42,Fréjus ,Corentin HOREAU,36,Auray ,Esteban,
51,PHARE 40 - HA PLUS PME,Class40,2014,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-10/PHARE%2040%20-%20HA%20PLUS%20PME%20-%20Class40.jpg.webp?itok=5GKeBzcN,"Edgard VINCENS",49,Bordeaux,"Louis TORREILLES
",32,Montpellier,Esteban,
52,"PIERREVAL-FONDATION GOOD PLANET
",Class40,2024,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/PIERREVAL-FONDATION%20GOOD%20PLANET%20-%20Class40.jpg.webp?itok=w_m651qr,"Vincent RIOU",53,Loctudy ,"Yann DOFFIN",32,Poitiers,Esteban,
53,Qwanza,Class40,2010,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/REVE%20A%20PERTE%20A%20VUE%20-%20class40.jpg.webp?itok=GNRQUSbg,Joël PARIS,61,Marseille,Goulven MARIE,49,Vence ,Benedict,
54,"RDT LOGISTIC - FORVIS MAZARS",Class40,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-10/RDT%20LOGISTICS-FORVIS%20MAZARS%20-%20Class40.jpg.webp?itok=KIdjkE-k,"Renaud COURBON",53, Le Havre,"Gilles COURBON",54, Le Havre,Benedict,
55,RÉAUTÉ CHOCOLAT,Class40,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/REAUTE%20CHOCOLAT%20-%20Class40%20Maquette.png.webp?itok=a2x9Y2KZ,"Lomano TAKASI",34,Le Mans,Jean MARRE,32,Lorient ,Benedict,
56,RENOVATEC,Class40,2009,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/VOILES%20ET%20PERFORMANCES%20-%20Clas40.jpg.webp?itok=XjOwVUyk,"Ulysse POZZOLI",35,Nancy,"Steven GRIENER",43,Nyon,Benedict,
57,RÊVE DE LARGE 5,Class40,2014,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/REVE%20DE%20LARGE%205%20-%20Class40.jpg.webp?itok=Btb86jze,Rodolphe SEPHO,39, Les Abîmes,Jean-Pierre COUTAYAR,27,Argentine,Ahmed,
58,SAEFRIGO - SOGESTRAN,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/SEAFRIGO%20-%20SOGESTRAN%20-%20Class40.jpg.webp?itok=q_RBh2Jf,"
Guillaume PIROUELLE",31,Le havre,  Cédric CHATEAU,28,Le havre,Ahmed,
59,"SNSM, FAITES UN DON ",Class40,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/TBC%20-%20Class40.jpg.webp?itok=fn6zW6FM,Corentin DOUGUET,51,Nantes,Axel TRÉHIN,37,Saint-Nazaire,Ahmed,
60,SODEBO ULTIM 3,Ultim,2019,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/SODEBO%20ULTIM%203%20-%20Ultim.jpg.webp?itok=cFUTyMXT,Thomas COVILLE,57,Locmariaquer," 
Benjamin SCHWARTZ",38,Lyon ,Ahmed,
61,SOLANO,Class40,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/SOLANO%20-%20Class40.jpg.webp?itok=yr0LPQxd,Robin FOLLIN,31,Nice,Jules BONNIER,31,Saint-Malo,Adrien,
62,SOLIDAIRES EN PELOTON,Ocean Fifty,2020,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/SOLIDAIRES%20EN%20PELOTON%20-%20Ocean%20Fifty.jpg.webp?itok=SHF5s_eo,Thibaut VAUCHEL-CAMUS,48,Cancale,Damien SEGUIN,47,Auray,Adrien,
63,SVR - LAZARTIGUE,Ultim,2021,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/SVR%20LAZARTIGUE%20-%20ULTIM.JPG.webp?itok=GH2wi3Ui,Tom LAPERCHE,29,La Rochelle,Franck CAMMAS,54,Aix-En-Provence,Adrien,
64,TEAM SNEF - TEAMWORK,Imoca,2017,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/TEAMWORKTEAM%20SNEF.jpg.webp?itok=ws7YlCRQ,Justine METTRAUX,39,Genève - Suisse,Xavier MACAIRE,45,Mont-Saint-Aignan,Adrien,
65,TRIMCONTROL,Class40,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/TRIMCONTROL-%20Class40.jpg.webp?itok=u1DYj05z,Alexandre LE GALLAIS,46,Carnac,Michel DESJOYEAUX,60,Concarneau,Thomas Aymard,
66,UPWIND BY MERCONCEPT,Ocean Fifty,,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/upwind_by_merconcept.jpg.webp?itok=MbantxNz,Anne-Claire LE BERRE,43,Brest,"Elodie-Jane METTRAUX
",41,Neyruz,Thomas Aymard,
67,VIABILIS OCEANS,Ocean Fifty,2017,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/VIABILIS%20OCEANS%20-%20Ocean%20fifty.jpg.webp?itok=1tEPrTK1,"Baptiste HULIN
",28,Tessoualle,"Thomas ROUXEL
",43,St Brieuc,Thomas Aymard,
68,VIRANGA,Class40,2021,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/Viranga%20-%20Class40.jpg.webp?itok=gpmNkfBV,"Emmanuel HAMEZ
",62,Lille,"Gérald VÉNIARD
",55,Chambéry,Thomas Aymard,
69,VOGUE AVEC UN CROHN,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/VOGUE%20AVEC%20UN%20CROHN%20-%20class40.jpg.webp?itok=akb6d1lg,"Pierre-Louis ATTWELL
",29,Honfleur,"Maxime BENSA
",32,Deauville,Thomas Aymard,
70,VSF SPORT,Class40,2022,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/VSF%20SPORT%20-%20Class40.jpg.webp?itok=Kxe-HVkb,,26,Barcelone,"Pablo SANTURDE DEL ARCO
",38,Stantandar,Thomas Aymard,
71,WASABIII,Class40,2023,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-07/wasabiii.jpg.webp?itok=uC9-0zW0,Stéphane BODIN,57,Roches premarie andille,Loeiz CADIOU,47,Quimper,Dylan,
72,WEEECYCLING,Class40,2018,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-06/weeecycling.jpg.webp?itok=Wn9ySbnP,"Nicolas LEMARCHAND",48,Lehon,Matthieu DERENNE,49,Saint Malo,Romain,
73,WEWISE,Ocean Fifty,2019,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-09/WEWISE%20-%20OCEAN%20FIFTY.jpg.webp?itok=mVU3h3CV,Pierre QUIROGA,33,La Capte,Gaston MORVAN,28,Landeda,Thomas P,
74,ZEISS,Class40,2025,https://www.transatcafelor.org/sites/default/files/styles/crop_1800_607/public/2025-08/ZEISS%20-%20Class40.jpeg.webp?itok=lbZ7-nUD,Thimothé POLET,25,Le Havre,Pierrick LETOUZÉ,27,Cherbourg,Thomas Aymard,
